driverStandingsId,raceId,driverId,points,position,positionText,wins
71395,1074,842,0.0,20,20,0
71394,1074,830,0.0,19,19,0
71393,1074,815,0.0,18,18,0
71392,1074,807,0.0,17,17,0
71391,1074,849,0.0,16,16,0
71390,1074,846,0.0,15,15,0
71389,1074,817,0.0,14,14,0
71388,1074,848,0.0,13,13,0
71387,1074,840,0.0,12,12,0
71386,1074,854,0.0,11,11,0
71385,1074,855,1.0,10,10,0
71384,1074,4,2.0,9,9,0
71383,1074,852,4.0,8,8,0
71382,1074,839,6.0,7,7,0
71381,1074,822,8.0,6,6,0
71376,1074,844,26.0,1,1,1
71377,1074,832,18.0,2,2,0
71378,1074,1,15.0,3,3,0
71379,1074,847,12.0,4,4,0
71380,1074,825,10.0,5,5,0
71272,1075,844,45.0,1,1,1
71273,1075,832,33.0,2,2,0
71274,1075,1,16.0,5,5,0
71275,1075,847,22.0,4,4,0
71276,1075,825,12.0,8,8,0
71277,1075,822,8.0,9,9,0
71278,1075,839,14.0,6,6,0
71279,1075,852,4.0,11,11,0
71280,1075,4,2.0,13,13,0
71281,1075,855,1.0,14,14,0
71282,1075,854,0.0,15,15,0
71283,1075,840,0.0,16,16,0
71284,1075,848,0.0,18,18,0
71285,1075,817,0.0,19,19,0
71286,1075,846,6.0,10,10,0
71287,1075,849,0.0,20,20,0
71288,1075,807,0.0,17,17,0
71289,1075,815,12.0,7,7,0
71290,1075,830,25.0,3,3,1
71291,1075,842,4.0,12,12,0
71292,1076,844,71.0,1,1,2
71293,1076,832,33.0,3,3,0
71294,1076,1,28.0,5,5,0
71295,1076,847,37.0,2,2,0
71296,1076,825,12.0,9,9,0
71297,1076,822,12.0,10,10,0
71298,1076,839,20.0,7,7,0
71299,1076,852,4.0,13,13,0
71300,1076,4,2.0,14,14,0
71301,1076,855,1.0,15,15,0
71302,1076,854,0.0,17,17,0
71303,1076,840,0.0,18,18,0
71304,1076,848,1.0,16,16,0
71305,1076,817,8.0,11,11,0
71306,1076,846,16.0,8,8,0
71307,1076,849,0.0,20,20,0
71308,1076,807,0.0,19,19,0
71309,1076,815,30.0,4,4,0
71310,1076,830,25.0,6,6,1
71311,1076,842,6.0,12,12,0
71312,1076,20,0.0,21,21,0
71313,1077,844,86.0,1,1,2
71314,1077,832,38.0,5,5,0
71315,1077,1,28.0,7,7,0
71316,1077,847,49.0,4,4,0
71317,1077,825,15.0,10,10,0
71318,1077,822,24.0,8,8,0
71319,1077,839,20.0,9,9,0
71320,1077,852,10.0,12,12,0
71321,1077,4,2.0,15,15,0
71322,1077,855,1.0,16,16,0
71323,1077,854,0.0,19,19,0
71324,1077,840,1.0,18,18,0
71325,1077,848,1.0,17,17,0
71326,1077,817,11.0,11,11,0
71327,1077,846,35.0,6,6,0
71328,1077,849,0.0,21,21,0
71329,1077,807,0.0,20,20,0
71330,1077,815,54.0,3,3,0
71331,1077,830,59.0,2,2,2
71332,1077,842,6.0,13,13,0
71333,1077,20,4.0,14,14,0
71334,1078,844,104.0,1,1,2
71335,1078,832,53.0,5,5,0
71336,1078,1,36.0,6,6,0
71337,1078,847,59.0,4,4,0
71338,1078,825,15.0,10,10,0
71339,1078,822,30.0,8,8,0
71340,1078,839,24.0,9,9,0
71341,1078,852,10.0,12,12,0
71342,1078,4,2.0,16,16,0
71343,1078,855,1.0,18,18,0
71344,1078,854,0.0,19,19,0
71345,1078,840,2.0,17,17,0
71346,1078,848,3.0,15,15,0
71347,1078,817,11.0,11,11,0
71348,1078,846,35.0,7,7,0
71349,1078,849,0.0,21,21,0
71350,1078,807,0.0,20,20,0
71351,1078,815,66.0,3,3,0
71352,1078,830,85.0,2,2,3
71353,1078,842,6.0,13,13,0
71354,1078,20,4.0,14,14,0
71355,1079,844,104.0,2,2,2
71356,1079,832,65.0,5,5,0
71357,1079,1,46.0,6,6,0
71358,1079,847,74.0,4,4,0
71359,1079,825,15.0,10,10,0
71360,1079,822,38.0,8,8,0
71361,1079,839,30.0,9,9,0
71362,1079,852,11.0,11,11,0
71363,1079,4,4.0,15,15,0
71364,1079,855,1.0,18,18,0
71365,1079,854,0.0,19,19,0
71366,1079,840,2.0,17,17,0
71367,1079,848,3.0,16,16,0
71368,1079,817,11.0,12,12,0
71369,1079,846,39.0,7,7,0
71370,1079,849,0.0,21,21,0
71371,1079,807,0.0,20,20,0
71372,1079,815,85.0,3,3,0
71373,1079,830,110.0,1,1,4
71374,1079,842,6.0,13,13,0
71375,1079,20,4.0,14,14,0
71396,1080,844,116.0,2,2,2
71397,1080,832,83.0,5,5,0
71398,1080,1,50.0,6,6,0
71399,1080,847,84.0,4,4,0
71400,1080,825,15.0,10,10,0
71401,1080,822,40.0,8,8,0
71402,1080,839,30.0,9,9,0
71403,1080,852,11.0,12,12,0
71404,1080,4,10.0,13,13,0
71405,1080,855,1.0,18,18,0
71406,1080,854,0.0,19,19,0
71407,1080,840,2.0,17,17,0
71408,1080,848,3.0,16,16,0
71409,1080,817,11.0,11,11,0
71410,1080,846,48.0,7,7,0
71411,1080,849,0.0,21,21,0
71412,1080,807,0.0,20,20,0
71413,1080,815,110.0,3,3,1
71414,1080,830,125.0,1,1,4
71415,1080,842,6.0,14,14,0
71416,1080,20,5.0,15,15,0
71417,1081,844,116.0,3,3,2
71418,1081,832,83.0,5,5,0
71419,1081,1,62.0,6,6,0
71420,1081,847,99.0,4,4,0
71421,1081,825,15.0,12,12,0
71422,1081,822,40.0,8,8,0
71423,1081,839,31.0,9,9,0
71424,1081,852,11.0,15,15,0
71425,1081,4,16.0,11,11,0
71426,1081,855,1.0,18,18,0
71427,1081,854,0.0,19,19,0
71428,1081,840,2.0,17,17,0
71429,1081,848,3.0,16,16,0
71430,1081,817,15.0,13,13,0
71431,1081,846,50.0,7,7,0
71432,1081,849,0.0,21,21,0
71433,1081,807,0.0,20,20,0
71434,1081,815,129.0,2,2,1
71435,1081,830,150.0,1,1,5
71436,1081,842,16.0,10,10,0
71437,1081,20,13.0,14,14,0
71479,1082,20,13.0,14,14,0
71477,1082,830,175.0,1,1,6
71476,1082,815,129.0,2,2,1
71475,1082,807,0.0,20,20,0
71474,1082,849,0.0,21,21,0
71471,1082,848,3.0,17,17,0
71470,1082,840,3.0,18,18,0
71468,1082,855,5.0,16,16,0
71467,1082,4,18.0,10,10,0
71466,1082,852,11.0,15,15,0
71460,1082,832,102.0,5,5,0
71461,1082,1,77.0,6,6,0
71462,1082,847,111.0,4,4,0
71463,1082,825,15.0,12,12,0
71464,1082,822,46.0,8,8,0
71478,1082,842,16.0,11,11,0
71465,1082,839,39.0,9,9,0
71472,1082,817,15.0,13,13,0
71459,1082,844,126.0,3,3,2
71473,1082,846,50.0,7,7,0
71469,1082,854,0.0,19,19,0
71480,1083,844,138.0,3,3,2
71481,1083,832,127.0,4,4,1
71482,1083,1,93.0,6,6,0
71483,1083,847,111.0,5,5,0
71484,1083,825,16.0,12,12,0
71485,1083,822,46.0,8,8,0
71486,1083,839,39.0,9,9,0
71487,1083,852,11.0,15,15,0
71488,1083,4,28.0,10,10,0
71489,1083,855,5.0,16,16,0
71490,1083,854,4.0,17,17,0
71491,1083,840,3.0,19,19,0
71492,1083,848,3.0,18,18,0
71493,1083,817,15.0,14,14,0
71494,1083,846,58.0,7,7,0
71495,1083,849,0.0,20,20,0
71496,1083,807,0.0,21,21,0
71497,1083,815,147.0,2,2,1
71498,1083,830,181.0,1,1,6
71499,1083,842,16.0,11,11,0
71500,1083,20,15.0,13,13,0
71501,1084,844,170.0,2,2,3
71502,1084,832,133.0,4,4,1
71503,1084,1,109.0,6,6,0
71504,1084,847,128.0,5,5,0
71505,1084,825,22.0,11,11,0
71506,1084,822,46.0,9,9,0
71507,1084,839,52.0,8,8,0
71508,1084,852,11.0,16,16,0
71509,1084,4,29.0,10,10,0
71510,1084,855,5.0,17,17,0
71511,1084,854,12.0,15,15,0
71512,1084,840,3.0,19,19,0
71513,1084,848,3.0,18,18,0
71514,1084,817,17.0,12,12,0
71515,1084,846,64.0,7,7,0
71516,1084,849,0.0,20,20,0
71517,1084,807,0.0,21,21,0
71518,1084,815,151.0,3,3,1
71519,1084,830,208.0,1,1,6
71520,1084,842,16.0,13,13,0
71521,1084,20,15.0,14,14,0
71522,1085,844,170.0,2,2,3
71523,1085,832,144.0,4,4,1
71524,1085,1,127.0,6,6,0
71525,1085,847,143.0,5,5,0
71526,1085,825,22.0,11,11,0
71527,1085,822,46.0,9,9,0
71528,1085,839,56.0,8,8,0
71529,1085,852,11.0,16,16,0
71530,1085,4,37.0,10,10,0
71531,1085,855,5.0,17,17,0
71532,1085,854,12.0,15,15,0
71533,1085,840,4.0,18,18,0
71534,1085,848,3.0,19,19,0
71535,1085,817,19.0,12,12,0
71536,1085,846,70.0,7,7,0
71537,1085,849,0.0,20,20,0
71538,1085,807,0.0,21,21,0
71539,1085,815,163.0,3,3,1
71540,1085,830,233.0,1,1,7
71541,1085,842,16.0,13,13,0
71542,1085,20,15.0,14,14,0
71543,1086,844,178.0,2,2,3
71544,1086,832,156.0,5,5,1
71545,1086,1,146.0,6,6,0
71546,1086,847,158.0,4,4,0
71547,1086,825,22.0,11,11,0
71548,1086,822,46.0,9,9,0
71549,1086,839,58.0,8,8,0
71550,1086,852,11.0,16,16,0
71551,1086,4,41.0,10,10,0
71552,1086,855,5.0,17,17,0
71553,1086,854,12.0,15,15,0
71554,1086,840,4.0,18,18,0
71555,1086,848,3.0,19,19,0
71556,1086,817,19.0,12,12,0
71557,1086,846,76.0,7,7,0
71558,1086,849,0.0,20,20,0
71559,1086,807,0.0,21,21,0
71560,1086,815,173.0,3,3,1
71561,1086,830,258.0,1,1,8
71562,1086,842,16.0,13,13,0
71563,1086,20,16.0,14,14,0
71564,1087,844,186.0,3,3,3
71565,1087,832,171.0,4,4,1
71566,1087,1,146.0,6,6,0
71567,1087,847,170.0,5,5,0
71568,1087,825,22.0,11,11,0
71569,1087,822,46.0,10,10,0
71570,1087,839,64.0,8,8,0
71571,1087,852,11.0,16,16,0
71572,1087,4,51.0,9,9,0
71573,1087,855,5.0,17,17,0
71574,1087,854,12.0,15,15,0
71575,1087,840,4.0,19,19,0
71576,1087,848,4.0,18,18,0
71577,1087,817,19.0,13,13,0
71578,1087,846,76.0,7,7,0
71579,1087,849,0.0,20,20,0
71580,1087,807,0.0,21,21,0
71581,1087,815,191.0,2,2,1
71582,1087,830,284.0,1,1,9
71583,1087,842,18.0,14,14,0
71584,1087,20,20.0,12,12,0
71585,1088,844,201.0,2,2,3
71586,1088,832,175.0,5,5,1
71587,1088,1,158.0,6,6,0
71588,1088,847,188.0,4,4,0
71589,1088,825,22.0,11,11,0
71590,1088,822,46.0,10,10,0
71591,1088,839,66.0,8,8,0
71592,1088,852,11.0,16,16,0
71593,1088,4,59.0,9,9,0
71594,1088,855,5.0,17,17,0
71595,1088,854,12.0,15,15,0
71596,1088,840,5.0,18,18,0
71597,1088,848,4.0,19,19,0
71598,1088,817,19.0,13,13,0
71599,1088,846,82.0,7,7,0
71600,1088,849,0.0,20,20,0
71601,1088,807,0.0,21,21,0
71602,1088,815,201.0,3,3,1
71603,1088,830,310.0,1,1,10
71604,1088,842,18.0,14,14,0
71605,1088,20,20.0,12,12,0
71606,1089,844,219.0,2,2,3
71607,1089,832,187.0,5,5,1
71608,1089,1,168.0,6,6,0
71609,1089,847,203.0,4,4,0
71610,1089,825,22.0,12,12,0
71611,1089,822,46.0,10,10,0
71612,1089,839,66.0,8,8,0
71613,1089,852,11.0,16,16,0
71614,1089,4,59.0,9,9,0
71615,1089,855,6.0,17,17,0
71616,1089,854,12.0,15,15,0
71617,1089,840,5.0,18,18,0
71618,1089,848,4.0,19,19,0
71619,1089,817,19.0,14,14,0
71620,1089,846,88.0,7,7,0
71621,1089,849,0.0,21,21,0
71622,1089,807,0.0,22,22,0
71623,1089,815,210.0,3,3,1
71624,1089,830,335.0,1,1,11
71625,1089,842,22.0,11,11,0
71626,1089,20,20.0,13,13,0
71627,1089,856,2.0,20,20,0
71628,1091,844,237.0,2,2,3
71629,1091,832,202.0,5,5,1
71630,1091,1,170.0,6,6,0
71631,1091,847,203.0,4,4,0
71632,1091,825,22.0,14,14,0
71633,1091,822,46.0,10,10,0
71634,1091,839,66.0,8,8,0
71635,1091,852,11.0,17,17,0
71636,1091,4,59.0,9,9,0
71637,1091,855,6.0,18,18,0
71638,1091,854,12.0,16,16,0
71639,1091,840,13.0,15,15,0
71640,1091,848,4.0,19,19,0
71641,1091,817,29.0,11,11,0
71642,1091,846,100.0,7,7,0
71643,1091,849,0.0,21,21,0
71644,1091,807,0.0,22,22,0
71645,1091,815,235.0,3,3,2
71646,1091,830,341.0,1,1,11
71647,1091,842,23.0,13,13,0
71648,1091,20,24.0,12,12,0
71649,1091,856,2.0,20,20,0
71693,1092,856,2.0,21,21,0
71692,1092,20,32.0,11,11,0
71691,1092,842,23.0,13,13,0
71690,1092,830,366.0,1,1,12
71689,1092,815,253.0,2,2,2
71688,1092,807,0.0,22,22,0
71687,1092,849,2.0,20,20,0
71686,1092,846,101.0,7,7,0
71685,1092,817,29.0,12,12,0
71684,1092,848,4.0,19,19,0
71673,1092,832,202.0,5,5,1
71674,1092,1,180.0,6,6,0
71675,1092,847,207.0,4,4,0
71676,1092,825,22.0,14,14,0
71677,1092,822,46.0,10,10,0
71678,1092,839,78.0,8,8,0
71679,1092,852,11.0,17,17,0
71680,1092,4,65.0,9,9,0
71681,1092,855,6.0,18,18,0
71682,1092,854,12.0,16,16,0
71683,1092,840,13.0,15,15,0
71672,1092,844,252.0,3,3,3
71759,1093,856,2.0,21,21,0
71758,1093,20,36.0,11,11,0
71756,1093,830,391.0,1,1,13
71755,1093,815,265.0,3,3,2
71753,1093,849,2.0,20,20,0
71751,1093,817,29.0,12,12,0
71750,1093,848,4.0,19,19,0
71748,1093,854,12.0,16,16,0
71747,1093,855,6.0,18,18,0
71746,1093,4,71.0,9,9,0
71744,1093,839,78.0,8,8,0
71743,1093,822,46.0,10,10,0
71741,1093,847,218.0,4,4,0
71739,1093,832,202.0,5,5,1
71745,1093,852,12.0,17,17,0
71749,1093,840,13.0,15,15,0
71757,1093,842,23.0,14,14,0
71740,1093,1,198.0,6,6,0
71742,1093,825,24.0,13,13,0
71754,1093,807,0.0,22,22,0
71752,1093,846,109.0,7,7,0
71738,1093,844,267.0,2,2,3
71782,1095,844,290.0,2,2,3
71781,1094,856,2.0,21,21,0
71780,1094,20,36.0,11,11,0
71779,1094,842,23.0,14,14,0
71778,1094,830,416.0,1,1,14
71777,1094,815,280.0,2,2,2
71776,1094,807,0.0,22,22,0
71775,1094,849,2.0,20,20,0
71774,1094,846,111.0,7,7,0
71773,1094,817,35.0,12,12,0
71772,1094,848,4.0,19,19,0
71761,1094,832,212.0,6,6,1
71762,1094,1,216.0,5,5,0
71763,1094,847,231.0,4,4,0
71764,1094,825,24.0,13,13,0
71765,1094,822,47.0,10,10,0
71766,1094,839,82.0,8,8,0
71767,1094,852,12.0,17,17,0
71768,1094,4,71.0,9,9,0
71769,1094,855,6.0,18,18,0
71770,1094,854,12.0,16,16,0
71771,1094,840,13.0,15,15,0
71760,1094,844,275.0,3,3,3
71783,1095,832,234.0,6,6,1
71784,1095,1,240.0,5,5,0
71785,1095,847,265.0,4,4,1
71786,1095,825,25.0,13,13,0
71787,1095,822,49.0,10,10,0
71788,1095,839,86.0,8,8,0
71789,1095,852,12.0,17,17,0
71790,1095,4,81.0,9,9,0
71791,1095,855,6.0,18,18,0
71792,1095,854,12.0,16,16,0
71793,1095,840,14.0,15,15,0
71794,1095,848,4.0,19,19,0
71795,1095,817,35.0,12,12,0
71796,1095,846,113.0,7,7,0
71797,1095,849,2.0,20,20,0
71798,1095,807,0.0,22,22,0
71799,1095,815,290.0,3,3,2
71800,1095,830,429.0,1,1,14
71801,1095,842,23.0,14,14,0
71802,1095,20,36.0,11,11,0
71803,1095,856,2.0,21,21,0
71804,1096,844,308.0,2,2,3
71805,1096,832,246.0,5,5,1
71806,1096,1,240.0,6,6,0
71807,1096,847,275.0,4,4,1
71808,1096,825,25.0,13,13,0
71809,1096,822,49.0,10,10,0
71810,1096,839,92.0,8,8,0
71811,1096,852,12.0,17,17,0
71812,1096,4,81.0,9,9,0
71813,1096,855,6.0,18,18,0
71814,1096,854,12.0,16,16,0
71815,1096,840,18.0,15,15,0
71816,1096,848,4.0,19,19,0
71817,1096,817,37.0,11,11,0
71818,1096,846,122.0,7,7,0
71819,1096,849,2.0,20,20,0
71820,1096,807,0.0,22,22,0
71821,1096,815,305.0,3,3,2
71822,1096,830,454.0,1,1,15
71823,1096,842,23.0,14,14,0
71824,1096,20,37.0,12,12,0
71825,1096,856,2.0,21,21,0
72025,1098,857,0.0,20,20,0
72024,1098,844,0.0,19,19,0
72023,1098,839,0.0,18,18,0
72022,1098,846,0.0,17,17,0
72021,1098,855,0.0,16,16,0
72020,1098,807,0.0,15,15,0
72019,1098,856,0.0,14,14,0
72018,1098,825,0.0,13,13,0
72017,1098,858,0.0,12,12,0
72016,1098,852,0.0,11,11,0
72015,1098,848,1.0,10,10,0
72014,1098,842,2.0,9,9,0
72013,1098,822,4.0,8,8,0
72012,1098,847,6.0,7,7,0
72011,1098,840,8.0,6,6,0
72010,1098,1,10.0,5,5,0
72009,1098,832,12.0,4,4,0
72008,1098,4,15.0,3,3,0
72007,1098,815,18.0,2,2,0
72006,1098,830,25.0,1,1,1
71903,1099,839,4.0,10,10,0
71901,1099,855,0.0,17,17,0
71900,1099,807,0.0,15,15,0
71899,1099,856,0.0,18,18,0
71897,1099,858,0.0,16,16,0
71896,1099,852,0.0,14,14,0
71894,1099,842,4.0,11,11,0
71893,1099,822,4.0,9,9,0
71892,1099,847,18.0,6,6,0
71891,1099,840,8.0,7,7,0
71889,1099,832,20.0,4,4,0
71887,1099,815,43.0,2,2,1
71902,1099,846,0.0,20,20,0
71905,1099,857,0.0,19,19,0
71904,1099,844,6.0,8,8,0
71888,1099,4,30.0,3,3,0
71890,1099,1,20.0,5,5,0
71895,1099,848,1.0,13,13,0
71898,1099,825,1.0,12,12,0
71886,1099,830,44.0,1,1,1
71906,1100,830,69.0,1,1,2
71907,1100,815,54.0,2,2,1
71908,1100,4,45.0,3,3,0
71909,1100,832,20.0,5,5,0
71910,1100,1,38.0,4,4,0
71911,1100,840,20.0,6,6,0
71912,1100,847,18.0,7,7,0
71913,1100,822,4.0,11,11,0
71914,1100,842,4.0,14,14,0
71915,1100,848,1.0,18,18,0
71916,1100,852,1.0,16,16,0
71917,1100,858,0.0,19,19,0
71918,1100,825,1.0,17,17,0
71919,1100,856,0.0,20,20,0
71920,1100,807,6.0,9,9,0
71921,1100,855,2.0,15,15,0
71922,1100,846,8.0,8,8,0
71923,1100,839,4.0,12,12,0
71924,1100,844,6.0,10,10,0
71925,1100,857,4.0,13,13,0
71926,1101,830,93.0,1,1,2
71927,1101,815,87.0,2,2,2
71928,1101,4,60.0,3,3,0
71929,1101,832,34.0,5,5,0
71930,1101,1,48.0,4,4,0
71931,1101,840,27.0,8,8,0
71932,1101,847,28.0,7,7,0
71933,1101,822,4.0,12,12,0
71934,1101,842,4.0,14,14,0
71935,1101,848,1.0,17,17,0
71936,1101,852,2.0,16,16,0
71937,1101,858,0.0,19,19,0
71938,1101,825,1.0,18,18,0
71939,1101,856,0.0,20,20,0
71940,1101,807,6.0,10,10,0
71941,1101,855,2.0,15,15,0
71942,1101,846,10.0,9,9,0
71943,1101,839,4.0,13,13,0
71944,1101,844,28.0,6,6,0
71945,1101,857,4.0,11,11,0
71946,1102,830,119.0,1,1,3
71947,1102,815,105.0,2,2,2
71948,1102,4,75.0,3,3,0
71949,1102,832,44.0,5,5,0
71950,1102,1,56.0,4,4,0
71951,1102,840,27.0,8,8,0
71952,1102,847,40.0,6,6,0
71953,1102,822,4.0,13,13,0
71954,1102,842,8.0,10,10,0
71955,1102,848,1.0,18,18,0
71956,1102,852,2.0,16,16,0
71957,1102,858,0.0,19,19,0
71958,1102,825,2.0,17,17,0
71959,1102,856,0.0,20,20,0
71960,1102,807,6.0,11,11,0
71961,1102,855,2.0,15,15,0
71962,1102,846,10.0,9,9,0
71963,1102,839,6.0,12,12,0
71964,1102,844,34.0,7,7,0
71965,1102,857,4.0,14,14,0
71966,1104,830,144.0,1,1,4
71967,1104,815,105.0,2,2,2
71968,1104,4,93.0,3,3,0
71969,1104,832,48.0,6,6,0
71970,1104,1,69.0,4,4,0
71971,1104,840,27.0,8,8,0
71972,1104,847,50.0,5,5,0
71973,1104,822,4.0,14,14,0
71974,1104,842,14.0,10,10,0
71975,1104,848,1.0,18,18,0
71976,1104,852,2.0,16,16,0
71977,1104,858,0.0,20,20,0
71978,1104,825,2.0,17,17,0
71979,1104,856,0.0,19,19,0
71980,1104,807,6.0,12,12,0
71981,1104,855,2.0,15,15,0
71982,1104,846,12.0,11,11,0
71983,1104,839,21.0,9,9,0
71984,1104,844,42.0,7,7,0
71985,1104,857,5.0,13,13,0
72026,1105,830,170.0,1,1,5
72027,1105,815,117.0,2,2,2
72028,1105,4,99.0,3,3,0
72029,1105,832,58.0,6,6,0
72030,1105,1,87.0,4,4,0
72031,1105,840,35.0,8,8,0
72032,1105,847,65.0,5,5,0
72033,1105,822,4.0,14,14,0
72034,1105,842,15.0,10,10,0
72035,1105,848,1.0,18,18,0
72036,1105,852,2.0,16,16,0
72037,1105,858,0.0,20,20,0
72038,1105,825,2.0,17,17,0
72039,1105,856,0.0,19,19,0
72040,1105,807,6.0,12,12,0
72041,1105,855,4.0,15,15,0
72042,1105,846,12.0,11,11,0
72043,1105,839,25.0,9,9,0
72044,1105,844,42.0,7,7,0
72045,1105,857,5.0,13,13,0
72083,1106,839,29.0,9,9,0
72082,1106,846,12.0,11,11,0
72081,1106,855,4.0,16,16,0
72080,1106,807,6.0,13,13,0
72079,1106,856,0.0,19,19,0
72078,1106,825,2.0,18,18,0
72077,1106,858,0.0,20,20,0
72076,1106,852,2.0,17,17,0
72075,1106,848,7.0,12,12,0
72074,1106,842,15.0,10,10,0
72073,1106,822,5.0,15,15,0
72072,1106,847,65.0,6,6,0
72071,1106,840,37.0,8,8,0
72070,1106,1,102.0,4,4,0
72069,1106,832,68.0,5,5,0
72068,1106,4,117.0,3,3,0
72067,1106,815,126.0,2,2,2
72066,1106,830,195.0,1,1,6
72084,1106,844,54.0,7,7,0
72085,1106,857,5.0,14,14,0
72125,1107,857,5.0,14,14,0
72124,1107,844,72.0,6,6,0
72123,1107,839,31.0,9,9,0
72122,1107,846,24.0,10,10,0
72121,1107,855,4.0,16,16,0
72120,1107,807,9.0,12,12,0
72119,1107,856,0.0,20,20,0
72118,1107,825,2.0,18,18,0
72116,1107,852,2.0,17,17,0
72114,1107,842,16.0,11,11,0
72112,1107,847,72.0,7,7,0
72111,1107,840,44.0,8,8,0
72109,1107,832,82.0,5,5,0
72107,1107,815,148.0,2,2,2
72108,1107,4,131.0,3,3,0
72110,1107,1,106.0,4,4,0
72115,1107,848,7.0,13,13,0
72106,1107,830,229.0,1,1,7
72113,1107,822,5.0,15,15,0
72117,1107,858,0.0,19,19,0
72126,1108,830,255.0,1,1,8
72127,1108,815,156.0,2,2,2
72128,1108,4,137.0,3,3,0
72129,1108,832,83.0,5,5,0
72130,1108,1,121.0,4,4,0
72131,1108,840,44.0,8,8,0
72132,1108,847,82.0,6,6,0
72133,1108,822,5.0,15,15,0
72134,1108,842,16.0,12,12,0
72135,1108,848,11.0,13,13,0
72136,1108,852,2.0,17,17,0
72137,1108,858,0.0,19,19,0
72138,1108,825,2.0,18,18,0
72139,1108,856,0.0,20,20,0
72140,1108,807,9.0,14,14,0
72141,1108,855,4.0,16,16,0
72142,1108,846,42.0,9,9,0
72143,1108,839,31.0,10,10,0
72144,1108,844,74.0,7,7,0
72145,1108,857,17.0,11,11,0
72146,1109,830,281.0,1,1,9
72147,1109,815,171.0,2,2,2
72148,1109,4,139.0,3,3,0
72149,1109,832,87.0,6,6,0
72150,1109,1,133.0,4,4,0
72151,1109,840,45.0,9,9,0
72152,1109,847,90.0,5,5,0
72153,1109,822,5.0,15,15,0
72154,1109,842,16.0,12,12,0
72155,1109,848,11.0,13,13,0
72156,1109,852,2.0,17,17,0
72157,1109,858,0.0,19,19,0
72158,1109,825,2.0,18,18,0
72159,1109,856,0.0,20,20,0
72160,1109,807,9.0,14,14,0
72161,1109,855,4.0,16,16,0
72162,1109,846,60.0,8,8,0
72163,1109,839,31.0,10,10,0
72164,1109,844,80.0,7,7,0
72165,1109,857,27.0,11,11,0
72166,1109,817,0.0,21,21,0
72167,1110,830,314.0,1,1,10
72168,1110,815,189.0,2,2,2
72169,1110,4,149.0,3,3,0
72170,1110,832,92.0,7,7,0
72171,1110,1,148.0,4,4,0
72172,1110,840,47.0,9,9,0
72173,1110,847,99.0,6,6,0
72174,1110,822,5.0,15,15,0
72175,1110,842,22.0,12,12,0
72176,1110,848,11.0,13,13,0
72177,1110,852,3.0,17,17,0
72178,1110,858,0.0,19,19,0
72179,1110,825,2.0,18,18,0
72180,1110,856,0.0,20,20,0
72181,1110,807,9.0,14,14,0
72182,1110,855,4.0,16,16,0
72183,1110,846,69.0,8,8,0
72184,1110,839,35.0,10,10,0
72185,1110,844,99.0,5,5,0
72186,1110,857,34.0,11,11,0
72187,1110,817,0.0,21,21,0
